No.,,Selection,"Age, Weight",RP,Previous Odds,Win/EW,SP
9,"P-3211
D","Vanderpoel (67)
J: Ben Jones
T: B Pauling","7-y-o
11st",159Spotlight,"17/2
8/1
17/2",8/1,SP
5,"3-F555
D","Inthepocket (37)
J: Mark Walsh
T: H De Bromhead","9-y-o
11st 6lb",163Spotlight,"17/2
9/1
17/2",9/1,SP
14,231286,"Ballysax Hank (37)
J: James Bowen
T: G P Cromwell","7-y-o
10st 12lb",156Spotlight,"14/1
12/1
11/1",10/1,SP
18,"F51254
D","Relieved Of Duties (24)
J: Jack Kennedy
T: G Elliott","7-y-o
10st 9lb",161Spotlight,"9/1
10/1
11/1",10/1,SP
20,"166-22
D","Release The Beast (75)
J: Sean Flanagan
T: P Nolan","7-y-o
10st 9lb",152Spotlight,"10/1
9/1
10/1",11/1,SP
17,"-41472
D","Break My Soul (24)
J: Sam Ewing
T: Ian Donoghue","7-y-o
10st 9lb",155Spotlight,"16/1
14/1
16/1",14/1,SP
3,"-51132
D","Rubaud (25)
J: H Cobden
T: P F Nicholls","8-y-o
11st 7lb",157Spotlight,"18/1
16/1
14/1",16/1,SP
7,"321413
D","Addragoole (37)
J: Keith Donoghue
T: G P Cromwell","7-y-o
11st 5lb",154Spotlight,"14/1
16/1
18/1",20/1,SP
16,"5-5111
D","Jour D'evasion (47)
J: Sam Twiston-Davies
T: H D Daly","7-y-o
10st 10lb",156Spotlight,"14/1
16/1
18/1",20/1,SP
15,"P-4P51
D","Personal Ambition (22)
J: Kielan Woods
T: B Pauling","7-y-o
10st 11lb",161Spotlight,"16/1
18/1
20/1",22/1,SP
19,"5-0220
D","Jasko Des Dames (37)
J: Darragh O'keeffe
T: H De Bromhead","7-y-o
10st 9lb",157Spotlight,"18/1
16/1
18/1",22/1,SP
10,"5-8314
D","Western Diego (37)
J: Brian Hayes
T: W P Mullins","9-y-o
11st",154Spotlight,"20/1
22/1
25/1",28/1,SP
2,"32-114
CD","Calico (32)
J: Tristan Durrell
T: D Skelton","10-y-o
11st 12lb",155Spotlight,"33/1
28/1
25/1",28/1,SP
6,"F4-P53
D","Boothill (74)
J: Bryan Carver
T: H Fry","11-y-o
11st 5lb",160Spotlight,"33/1
40/1
33/1",40/1,SP
12,"-25236
D","Special Cadeau (102)
J: Mike O'connor
T: H De Bromhead","8-y-o
11st",156Spotlight,"33/1
28/1
33/1",40/1,SP
1,"4-4232
D","Touch Me Not (17)
J: James Smith
T: G Elliott","7-y-o
12st 1lb",160Spotlight,"50/1
40/1
50/1",40/1,SP
13,"8-529U
D","Martator (39)
J: Charlie Deutsch
T: Miss V Williams","9-y-o
10st 12lb",160Spotlight,"33/1
40/1
50/1",66/1,SP
11,"1-0770
D","The Other Mozzie (56)
J: B S Hughes
T: L Morgan","7-y-o
11st",156Spotlight,"100/1
80/1
100/1",80/1,SP
